#FILE:                       ,sws-10k.dsv          
#FORMAT:                     ,NETZSCH5             
#IDENTITY:                   ,1                    
#DECIMAL:                    ,POINT                
#SEPARATOR:                  ,COMMA                
#MTYPE:                      ,DTA                  
#MSUBTYPE:                   ,                     
#INSTRUMENT:                 ,NETZSCH STA 409 PC/PG
#PROJECT:                    ,                     
#DATE/TIME:                  ,2002-1-2 15:27:37    
#CORR. FILE:                 ,10k.bsv              
#LABORATORY:                 ,                     
#OPERATOR:                   ,1                    
#REMARK:                     ,                     
#SAMPLE:                     ,1                    
#SAMPLE MASS /mg:            ,29.908               
#MATERIAL:                   ,                     
#REFERENCE:                  ,yes                  
#REFERENCE MASS /mg:         ,0.000                
#TYPE OF CRUCIBLE:           ,DTA/TG crucible Al2O3
#SAMPLE CRUCIBLE MASS /mg:   ,0.000                
#REFERENCE CRUCIBLE MASS /mg:,0.000                
#GAS 1:                      ,                     
#FLOW RATE 1:                ,                     
#GAS 2:                      ,air                  
#FLOW RATE 2 /(ml/min):      ,50                   
#CORR. CODE:                 ,820                  
#EXO:                        ,+1                   
#RANGE:                      ,30/10.0(K/min)/1000  
#SEGMENT:                    ,S1/1                 

##Temp./°„C,Time/min,DTA/(uV/mg),Mass/%,DTG/(%/min),Sensit./(¶ÃV/mW)
682.61400,   65.28665,     0.16319, 82.81864,    -0.46311,1.00000
685.11400,   65.53660,     0.16266, 82.70857,    -0.41918,1.00000
687.61400,   65.78706,     0.16185, 82.60834,    -0.38275,1.00000
690.11400,   66.03936,     0.16079, 82.51569,    -0.35299,1.00000
692.61400,   66.29058,     0.15952, 82.43016,    -0.32894,1.00000
695.11400,   66.54210,     0.15815, 82.35004,    -0.30879,1.00000
697.61400,   66.79321,     0.15678, 82.27478,    -0.29099,1.00000
700.11400,   67.04436,     0.15552, 82.20382,    -0.27409,1.00000
702.61400,   67.29502,     0.15446, 82.13725,    -0.25698,1.00000
705.11400,   67.54583,     0.15370, 82.07505,    -0.23871,1.00000
707.61400,   67.79685,     0.15330, 82.01758,    -0.21876,1.00000
710.11400,   68.04783,     0.15328, 81.96535,    -0.19717,1.00000
712.61400,   68.29859,     0.15369, 81.91873,    -0.17451,1.00000
715.11400,   68.54946,     0.15448, 81.87782,    -0.15179,1.00000
717.61400,   68.80044,     0.15561, 81.84248,    -0.13014,1.00000
720.11400,   69.05090,     0.15696, 81.81239,    -0.11059,1.00000
722.61400,   69.30154,     0.15840, 81.78687,-9.3676e-002,1.00000
725.11400,   69.55316,     0.15979, 81.76515,-7.9527e-002,1.00000
727.61400,   69.80313,     0.16102, 81.74676,-6.8126e-002,1.00000
730.11400,   70.05408,     0.16203, 81.73086,-5.9016e-002,1.00000
732.61400,   70.30460,     0.16278, 81.71702,-5.1915e-002,1.00000
735.11400,   70.55577,     0.16330, 81.70470,-4.6521e-002,1.00000
737.61400,   70.80641,     0.16361, 81.69356,-4.2628e-002,1.00000
740.11400,   71.05672,     0.16374, 81.68325,-3.9950e-002,1.00000
742.61400,   71.30719,     0.16369, 81.67349,-3.8119e-002,1.00000
745.11400,   71.55775,     0.16343, 81.66412,-3.6732e-002,1.00000
747.61400,   71.80870,     0.16293, 81.65506,-3.5477e-002,1.00000
750.11400,   72.05876,     0.16219, 81.64634,-3.4279e-002,1.00000
752.61400,   72.30947,     0.16122, 81.63788,-3.3317e-002,1.00000
755.11400,   72.55998,     0.16007, 81.62960,-3.2944e-002,1.00000
757.61400,   72.81066,     0.15882, 81.62130,-3.3448e-002,1.00000
760.11400,   73.06136,     0.15752, 81.61276,-3.4857e-002,1.00000
